aggregated from the Excel ffiile attached to the article																				
Family	Genus	species	SpeciesNo	Mc	Na	Yo	Ch	An	Ot	Ni	Hg	Mi	Hy	Ha	Hi	Mk	Ae	Me	Im	period
Assimineidae	Pardinella	sp3	42	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	modern
Vertigidae	Ptychalaea	dedecora	43	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	modern
Vertigidae	Ptychalaea	tamagonari	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Achatinellidae	Tornatellides	tryoni	45	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	modern
Achatinellidae	Tornatellides	boeningii	46	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	modern
Truncatellidae	Truncatella	guerinii	47	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	modern
Ariophantidae	Vitrinula	chichijimana	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Enidae	Boninena	ogasawarae	49	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	modern
Enidae	Boninena	hatai	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Assimineidae	Conacmella	vagans	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Euconulidae	Hirasea	sinuosa	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Euconulidae	Hirasea	eutheca	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Euconulidae	Hirasea	planulata	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Euconulidae	Hirasea	biconcava	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Euconulidae	Hirasea	acutissima	56	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Euconulidae	Hirasea	acuta	57	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	modern
Euconulidae	Hirasea	insignis	58	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Euconulidae	Hirasea	sp	59	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	modern
Bradybaenidae	Mandarina	aureola	60	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Bradybaenidae	Mandarina	polita	61	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Bradybaenidae	Mandarina	hahajimana	62	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Bradybaenidae	Mandarina	exoptata	63	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	modern
Bradybaenidae	Mandarina	ponderosa	64	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	modern
